"CO_ENTIDADE","nome_escola_2020","situacao_2021","dependencia","matriculas_2020","address","Latitude","Longitude ","rede"
35271639,"OSCAR DE CASTRO RIBEIRO EMEI","paralisada_2021","1_publica",10,"RUA JOSE GOMES DO AMARAL, SN RUA. JARDIM EUROPA. 13940-000 Águas de Lindóia - SP.","-46.5804632"," -22.4480763","pública ou conveniada"
35160957,"PEQUENO MUNDO DE AMERICANA ESCOLA DE EDUCACAO INF","extinta_2021","3_privada_nao_conveniada",10,"VICENTE DE CARVALHO, 619 RUA. VILA AMORIM. 13469-130 Americana - SP.","-47.353704"," -22.7398334","privada"
35164811,"CATATAU CENTRO DE DESENVOLVIMENTO INFANTIL","extinta_2021","3_privada_nao_conveniada",110,"MEXICO, 201 RUA. VILA FREZZARIN. 13465-780 Americana - SP.","-47.3398822"," -22.7467812","privada"
35193355,"ESCOLA MARIA IMACULADA","extinta_2021","3_privada_nao_conveniada",56,"AVENIDA MATHIAS PAVAO, 126 E 136. JARDIM PONTE ALTA. 14820-000 Américo Brasiliense - SP.","-48.1042437"," -21.7240202","privada"
35664698,"BAIRRO GARCIAS EMEIEF DO","extinta_2021","1_publica",33,"BAIRRO DOS GARCIAS, SN RUA. GARCIAS. 18320-000 Apiaí - SP.","-48.9278593"," -24.4532555","pública ou conveniada"
35005818,"COLEGIO MEU MUNDO FELIZ","paralisada_2021","3_privada_nao_conveniada",9,"CATANDUVA, 541 CASA. JARDIM NOVA YORQUE. 16018-230 Araçatuba - SP.","NaN"," NaN","privada"
35160337,"URSO PIM POM CENTRO EDUCACAO INFANTIL","extinta_2021","3_privada_nao_conveniada",19,"RUA SANTO ANTONIO, 67 ESTRADA. CENTRO. 18190-000 Araçoiaba da Serra - SP.","-47.6094431"," -23.5070801","privada"
35188098,"CANTINHO DO ENCANTO ESCOLA RECREACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada",14,"FRANCISCO ARANHA DO AMARAL, 910 AVENIDA. CENTRO. 14802-320 Araraquara - SP.","-48.17798951"," -21.77903215","privada"
35498920,"JARDIM DO SOL ESCOLA WALDORF DE ARARAQUARA","extinta_2021","3_privada_nao_conveniada",20,"LUIZ LUCCAS, 8 RUA. JARDIM TINEN. 14806-105 Araraquara - SP.","-48.16001426"," -21.76390261","privada"
35084578,"GENTE MIUDA ESCOLA DE EDUCACAO INFANTIL E FUNDAMENTAL","extinta_2021","3_privada_nao_conveniada",21,"RUA JOSE COELHO BARBOSA, 396 RUA. VILA ORESTES. 19806-290 Assis - SP.","-50.4272433"," -22.6531683","privada"
35445733,"PEQUENINOS EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada",33,"QUINZE DE NOVEMBRO, 671 RUA. VILA SANTO ANTONIO. 19800-160 Assis - SP.","-50.414885"," -22.6636237","privada"
35004530,"ESCOLA MAE TERRA BERCARIO E EDUCACAO INFANTIL","extinta_2021","3_privada_nao_conveniada",28,"ANTONIO BONINI, 50 VILA SANTISTA. 12941-040 Atibaia - SP.","-46.5424693"," -23.1158788","privada"
35005251,"ESCOLA AMARILIS","paralisada_2021","3_privada_nao_conveniada",2,"ZEZICO PECANHA, 612 ITAPETINGA. 12946-372 Atibaia - SP.","-46.534871"," -23.1397122","privada"
35189261,"GIRASSOL ATIBAIA ESCOLA INFANTIL","extinta_2021","3_privada_nao_conveniada",10,"CLOVIS SOARES, 416 RUA. ALVINOPOLIS. 12942-560 Atibaia - SP.","-46.5642"," -23.1195","privada"
35265871,"PHOENIX COLEGIO","paralisada_2021","3_privada_nao_conveniada",17,"VLADIMIR HERZOG, 300 RUA. VILA ESPERIA OU GIGLIO. 12946-220 Atibaia - SP.","-46.5527775"," -23.1331576","privada"
35194311,"MUNDO MAIOR CENTRO DE RECREACAO INFANTIL","extinta_2021","3_privada_nao_conveniada",22,"CAXIAS DUQUE, 241 RUA. CENTRO. 06401-010 Barueri - SP.","-46.8738013"," -23.5095917","privada"
35388853,"SONHO MAGICO CENTRO DE RECREACAO INFANTIL","extinta_2021","3_privada_nao_conveniada",183,"ALDEIA, 71 AVENIDA. JARDIM IRACEMA. 06440-000 Barueri - SP.","-46.8546758"," -23.5114551","privada"
35482274,"CRISTAO ASAS COLEGIO","extinta_2021","3_privada_nao_conveniada",34,"DIAMANTE, 128 RUA. JARDIM DOS CAMARGOS. 06410-180 Barueri - SP.","-46.8656437"," -23.5007707","privada"
35004231,"ESCOLA DE EDUCACAO INFANTIL FLOR DE LOTUS","paralisada_2021","3_privada_nao_conveniada",33,"OLIMPIO DE MACEDO, 7-30 VILA UNIVERSITARIA. 17012-533 Bauru - SP.","-49.0560087"," -22.3405318","privada"
35005331,"ESCOLA DE EDUCACAO INFANTIL JOAO E MARIA","extinta_2021","3_privada_nao_conveniada",30,"EDILSON ALVES DE CARVALHO, 2 39 VILA JARDIM CELINA. 17055-090 Bauru - SP.","-49.1100979"," -22.3350359","privada"
35197798,"CRESCER ESCOLA DE EDUCACAO INFANTIL CRECHE BERC DECRIS","paralisada_2021","2_privada_conveniada",25,"VIRGILIO MALTA QUADRA, 7 34. CENTRO. 17010-240 Bauru - SP.","-49.0746141"," -22.3249735","pública ou conveniada"
35461933,"ESTACAO SABER I CENTRO EDUCACIONAL","extinta_2021","3_privada_nao_conveniada",23,"SERGIPE QUADRA, 4-50 RUA. VILA CARDIA. 17013-670 Bauru - SP.","-49.0554903"," -22.3222451","privada"
35576219,"VITTORE KIDS ESCOLA DE EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada",10,"GUSTAVO MACIEL QUADRA, 17 RUA. CENTRO. 17010-180 Bauru - SP.","-49.0724034"," -22.3175039","privada"
35576281,"ESCOLA DE EDUCACAO INFANTIL UNI DUNI TE","extinta_2021","3_privada_nao_conveniada",5,"RUA MANOEL VICTORINORELLO DE ARAUJO, SN QUADRA 88. NUCLEO HABITACIONAL MARY DOTA. 17026-050 Bauru - SP.","-49.0448913"," -22.2928466","privada"
35004018,"CENTRO DE RECREACAO INFANTIL ALEGRIA","extinta_2021","3_privada_nao_conveniada",19,"QUITANDINHA, 599 JARDIM DO BOSQUE. 14708-057 Bebedouro - SP.","-48.5016409"," -20.9285929","privada"
35587230,"ESCOLA DE EDUCACAO INFANTIL PINGO DE GENTE","extinta_2021","3_privada_nao_conveniada",31,"RUA GENERAL OSORIO, 1005 RUA. CENTRO. 14701-330 Bebedouro - SP.","-48.4875833"," -20.9479373","privada"
35233766,"UMEI PROFESSORA LAURITA CLAUDINO NASCIMENTO MELLO","paralisada_2021","1_publica",76,"RUA ITAPOLIS, 100 RUA. CHACARA MUNICIPAL. 14955-000 Borborema - SP.","-49.0798625"," -21.6198105","pública ou conveniada"
35301462,"ASSOCIACAO BETHEL","paralisada_2021","3_privada_nao_conveniada",27,"JOAO PASSOS, 757 PREDIO. CENTRO. 18600-040 Botucatu - SP.","-48.4416365"," -22.888125","privada"
35568831,"BROTAS CENTRO EDUCACIONAL","paralisada_2021","3_privada_nao_conveniada",8,"AVENIDA RODOLPHO GUIMARAES, 1553 AVENIDA. CENTRO. 17380-000 Brotas - SP.","NaN"," NaN","privada"
35006912,"ESCOLA EDUCACAO INFANTIL E BERCARIO DE PAULA BABY","paralisada_2021","3_privada_nao_conveniada",1,NA,"NA"," NA","privada"
35006924,"A C DE CAMARGO BORSI ESCOLA DE ENSINO INFANTIL SANTANNA","extinta_2021","3_privada_nao_conveniada",2,NA,"NA"," NA","privada"
35566962,"ESCOLA DE EDUCACAO INFANTIL FILHOS DO REI","extinta_2021","3_privada_nao_conveniada",5,"JOSE DO CARMO LEITE, 84 RUA. REGIAO CENTRAL. 07700-130 Caieiras - SP.","-46.7420751"," -23.3630505","privada"
35151488,"VERA ZUCCHI COLEGIO EDUCACAO INFAN ENSINO FUND E MEDIO","paralisada_2021","3_privada_nao_conveniada",2,"RUA ANTONIO DE BARROS, 03 VILA ABRAO. 07786-740 Cajamar - SP.","-46.828941"," -23.3380198","privada"
35286783,"CONQUISTAS COLEGIO","paralisada_2021","3_privada_nao_conveniada",45,"RUA PASTOR MARIO BELCHIOR, 355 RUA. PARAFUSO. 11950-000 Cajati - SP.","-48.1226041"," -24.7298332","privada"
35007007,"CENTRO DE FORMACAO INFANTIL A TOQUINHA","paralisada_2021","3_privada_nao_conveniada",7,NA,"NA"," NA","privada"
35205357,"SILVIA FERNANDA BONI CEI","paralisada_2021","1_publica",54,"CHACARA CRUZEIRO DO SUL, SN RUA. JARDIM SANTA ROSA. 13058-755 Campinas - SP.","-47.1776758"," -22.9259014","pública ou conveniada"
35568491,"MAPLE BEAR CANADIAN SCHOOL CAMPINAS","paralisada_2021","3_privada_nao_conveniada",127,"RUA PADRE DOMINGOS GIONVANINI, 26 RUA. PARQUE TAQUARAL. 13087-310 Campinas - SP.","-47.0588494"," -22.8692139","privada"
35568983,"PROGRESSO BARAO GERALDO COLEGIO UNIDADE II","extinta_2021","3_privada_nao_conveniada",46,"SERGIO ALMEIDA PRADO DOUTOR, 210 RUA. CIDADE UNIVERSITARIA. 13083-750 Campinas - SP.","-47.0767224"," -22.8049634","privada"
35437165,"MEU PEQUENO PRINCIPE ESCOLA DE EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada",37,"EPITACIO PESSOA PRESIDENTE, 100 RUA. VILA TAVARES. 13230-090 Campo Limpo Paulista - SP.","-46.7915361"," -23.2028295","privada"
35583698,"COLEGIO COLINA","extinta_2021","3_privada_nao_conveniada",63,"RUA MONSENHOR JOSE VITA, 228 AVENIDA. VILA ABERNESSIA. 12460-000 Campos do Jordão - SP.","-45.5926352"," -22.7423277","privada"
35439400,"PRIMEIROS PASSOS JARDIM DA INFANCIA","paralisada_2021","3_privada_nao_conveniada",38,"RUA FADLO JABUR, 931 RUA. CENTRO. 19880-000 Cândido Mota - SP.","-50.3900501"," -22.7444789","privada"
35004483,"ESCOLA FILHINHOS DA OLIVEIRA","extinta_2021","3_privada_nao_conveniada",34,"SANTOS DUMONT, 1032 ESCOLA. CENTRO. 18300-530 Capão Bonito - SP.","-48.3455812"," -23.99332","privada"
35004357,"CENTRO DE RECREACAO INFANTIL FAVO DE MEL","paralisada_2021","2_privada_conveniada",208,"DOIS CORREGOS, 258 CIDADE ARISTON ESTELA AZEVEDO. 06390-290 Carapicuíba - SP.","NaN"," NaN","pública ou conveniada"
