"CO_ENTIDADE","nome_escola_2020","situacao_2021","dependencia","rede","matriculas_2020","address","Latitude","Longitude "
35194311,"MUNDO MAIOR CENTRO DE RECREACAO INFANTIL","extinta_2021","3_privada_nao_conveniada","privada",22,"CAXIAS DUQUE, 241 RUA. CENTRO. 06401-010 Barueri - SP.","-46.8738013"," -23.5095917"
35388853,"SONHO MAGICO CENTRO DE RECREACAO INFANTIL","extinta_2021","3_privada_nao_conveniada","privada",183,"ALDEIA, 71 AVENIDA. JARDIM IRACEMA. 06440-000 Barueri - SP.","-46.8546758"," -23.5114551"
35482274,"CRISTAO ASAS COLEGIO","extinta_2021","3_privada_nao_conveniada","privada",34,"DIAMANTE, 128 RUA. JARDIM DOS CAMARGOS. 06410-180 Barueri - SP.","-46.8656437"," -23.5007707"
35006912,"ESCOLA EDUCACAO INFANTIL E BERCARIO DE PAULA BABY","paralisada_2021","3_privada_nao_conveniada","privada",1,NA,"NA"," NA"
35006924,"A C DE CAMARGO BORSI ESCOLA DE ENSINO INFANTIL SANTANNA","extinta_2021","3_privada_nao_conveniada","privada",2,NA,"NA"," NA"
35566962,"ESCOLA DE EDUCACAO INFANTIL FILHOS DO REI","extinta_2021","3_privada_nao_conveniada","privada",5,"JOSE DO CARMO LEITE, 84 RUA. REGIAO CENTRAL. 07700-130 Caieiras - SP.","-46.7420751"," -23.3630505"
35151488,"VERA ZUCCHI COLEGIO EDUCACAO INFAN ENSINO FUND E MEDIO","paralisada_2021","3_privada_nao_conveniada","privada",2,"RUA ANTONIO DE BARROS, 03 VILA ABRAO. 07786-740 Cajamar - SP.","-46.828941"," -23.3380198"
35004357,"CENTRO DE RECREACAO INFANTIL FAVO DE MEL","paralisada_2021","2_privada_conveniada","pública ou conveniada",208,"DOIS CORREGOS, 258 CIDADE ARISTON ESTELA AZEVEDO. 06390-290 Carapicuíba - SP.","NaN"," NaN"
35006450,"SELMA A DE M CARLOS ESCOLA DE EDUCACAO INFANTIL - ESPACO DA CRIANCA","paralisada_2021","3_privada_nao_conveniada","privada",41,NA,"NA"," NA"
35006547,"COLEGIO MAGIC MONTESSORI BERCARIO E EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",2,NA,"NA"," NA"
35434206,"CARROSSEL ESCOLA DE EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",63,"INOCENCIO SERAFICO, 2470 AVENIDA. VILA SILVA RIBEIRO. 06380-021 Carapicuíba - SP.","-46.8343744"," -23.5444321"
35472529,"CRISTAL ESCOLA DE EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",53,"PRUDENTE DE MORAES, 177 RUA. VILA CALDAS. 06310-101 Carapicuíba - SP.","-46.84207"," -23.51998"
35580089,"ESCOLA DE EDUCACAO INFANTIL BAMBI","paralisada_2021","3_privada_nao_conveniada","privada",19,"INOCENCIO SERAFICO, 4550 AVENIDA. VILA DIRCE. 06343-410 Carapicuíba - SP.","-46.8359443"," -23.5621633"
